Sample,gyr_y_Autocorrelation,gyr_y_Centroid,gyr_y_Curve distance,gyr_y_Fundamental frequency,gyr_y_Histogram_0,gyr_y_Histogram_1,gyr_y_Histogram_2,gyr_y_Histogram_3,gyr_y_Histogram_4,gyr_y_Histogram_5,gyr_y_Histogram_6,gyr_y_Histogram_7,gyr_y_Histogram_8,gyr_y_Histogram_9,gyr_y_Interquartile range,gyr_y_Kurtosis,gyr_y_Linear regression,gyr_y_Max,gyr_y_Max power spectrum,gyr_y_Maximum frequency,gyr_y_Maximum peaks,gyr_y_Mean,gyr_y_Mean absolute deviation,gyr_y_Mean absolute diff,gyr_y_Mean diff,gyr_y_Median,gyr_y_Median absolute deviation,gyr_y_Median absolute diff,gyr_y_Median diff,gyr_y_Median frequency,gyr_y_Min,gyr_y_Minimum peaks,gyr_y_Root mean square,gyr_y_Signal distance,gyr_y_Skewness,gyr_y_Spectral centroid,gyr_y_Spectral decrease,gyr_y_Spectral kurtosis,gyr_y_Spectral maximum peaks,gyr_y_Spectral roll-off,gyr_y_Spectral roll-on,gyr_y_Spectral skewness,gyr_y_Spectral slope,gyr_y_Spectral spread,gyr_y_Spectral variation,gyr_y_Standard Deviation,gyr_y_Sum absolute diff,gyr_y_Total energy,gyr_y_Variance,gyr_y_Zero crossing rate
0,7.312534892334264,0.31758105989419366,-977.9651300416265,7.142857142857142,0.0,0.0,0.0,0.0,0.0,3.0468749999999973,1.6406250000000004,0.15625000000000003,0.11718750000000003,0.03906250000000001,0.11113015707035756,8.301318859683352,-0.056366092964414395,0.8652983210311375,0.1276922914944733,40.476190476190474,28.0,0.20160967860711948,0.08538061065664146,0.02904074255913844,-0.004874531444625966,0.16576371772238033,0.05704346468052687,0.013186017270309991,-0.0006365641129608413,9.523809523809524,0.06411794548197726,28.0,0.23901710994479333,127.13932133982695,2.5350584231405424,13.454065815905958,-0.08858702129479144,3.487886163021115,22.0,40.476190476190474,0.7936507936507936,1.132073961625052,-0.057248891871134536,147.08758543625282,0.5797204015575248,0.1283850315975169,3.6881743050105817,5.7579014900269785,0.016482716338295417,0.0
1,1.6485571959396625,0.400500087779953,-328.17522495929626,7.142857142857142,0.0,0.0,0.0,0.0,0.0,4.687499999999996,0.31250000000000006,0.0,0.0,0.0,0.06351030131554583,1.678685584891003,-0.022328569639312148,0.30484303738067375,0.39616263094879983,41.269841269841265,24.0,0.10223025792580301,0.03964993576563107,0.01006719200470203,-0.0011207264857638094,0.08328021266293954,0.020823314224105736,0.0053874656496317175,-0.0006365641129608413,10.317460317460316,0.028998577394768656,23.0,0.1134872375788512,127.03166924184704,1.3247360618479325,13.685748458884675,0.03181166984414737,3.2562859420837293,15.0,41.269841269841265,0.7936507936507936,1.0259081740836236,-0.0191987650934039,161.01084834987034,0.9074894853467292,0.049278062641528494,1.2785333845971578,1.2980765322359546,0.0024283274577024064,0.0
2,0.5422907764532802,0.55220942948858,-132.600071458928,6.349206349206349,0.0,0.0,0.0,0.0,0.0,4.999999999999996,0.0,0.0,0.0,0.0,0.020208863675921104,0.23585706086560476,-0.0034591331482498825,0.09935708686324941,0.28665051699072003,37.3015873015873,21.0,0.06286027182481223,0.012979446592857234,0.006478791009602252,-0.0002254530605986687,0.06433419830247936,0.010110532959772225,0.004546741408236792,6.562550475972678e-05,10.317460317460316,0.013640707445915144,21.0,0.06508952827484042,127.00540785559353,-0.4029731269890646,12.32772912738556,-0.1459081872352292,4.506190892354349,23.0,37.3015873015873,0.7936507936507936,1.4271752555498927,-0.00778382045310358,122.89216202272094,0.5539101891514171,0.016888840017951764,0.8228064582194861,0.42700061138053547,0.0002852329171519689,0.0
3,0.42902065321893534,0.5711426111783525,-138.92297890239243,6.349206349206349,0.0,0.0,0.0,0.0,0.0,4.999999999999996,0.0,0.0,0.0,0.0,0.025798836556108234,-0.37542278604353996,-0.0031765202900068982,0.09935708686324941,0.09973331779015959,34.92063492063492,21.0,0.05514203064843994,0.014215021473135633,0.00561317990320319,0.00012203460401136908,0.05613589121593743,0.012931319882673393,0.0038864970095907336,0.00031062837285972256,8.73015873015873,0.013640707445915144,21.0,0.057894074422801964,127.00412364388804,-0.057404494441693585,11.108977889016632,-0.4687989428075535,5.015533738158362,21.0,34.92063492063492,0.7936507936507936,1.563564280632418,-0.008175535235889597,114.25191314454916,0.6623876013460386,0.017637468901161586,0.7128738477068051,0.3378115379676656,0.00031108030923944203,0.0
4,0.30409234289393683,0.4669730519173966,-140.678651807774,7.936507936507936,0.0,0.0,0.0,0.0,0.0,4.999999999999996,0.0,0.0,0.0,0.0,0.02964032085797612,-0.9216472437177825,-0.00723852622981412,0.0852272802628633,0.35433790996765285,34.92063492063492,22.0,0.04525632483520062,0.015436208738195543,0.0052917038922089465,-0.0001783397539788906,0.044105186340976044,0.014931974726299726,0.004112958946119183,-0.00015987959185862627,6.349206349206349,0.008446195823776018,21.0,0.048741372865963487,127.00322839537564,0.18713753445207149,10.565673411751474,-0.2749801744030303,4.9379798622554505,20.0,34.92063492063492,0.7936507936507936,1.498461667210888,-0.008287059140514516,113.42704535045613,0.7965177892084291,0.01809935057590976,0.6720463943105363,0.23944278968026522,0.00032758649126968497,0.0
5,0.17548254854621348,0.4694372344890378,-125.71847029906064,3.1746031746031744,0.0,0.0,0.0,0.0,0.0,4.999999999999996,0.0,0.0,0.0,0.0,0.022760177446718974,0.2042573087035775,-0.0038332987748009454,0.08003737743522082,0.07437834765411827,36.507936507936506,21.0,0.03335180234440789,0.012681484856409287,0.006503323406328853,0.00012419246300323291,0.032009660529092515,0.0114229544424492,0.005566743758549736,-0.0004641633719231139,9.523809523809524,0.004823245209407655,21.0,0.03702644204507493,127.00465430586165,0.7368211852669295,12.125092120060337,-0.14714086557091902,4.124987912024499,20.0,36.507936507936506,0.7936507936507936,1.2888481100269467,-0.007383182267894947,121.09832520425893,0.6135259242035198,0.016081501512509363,0.8259220726037643,0.13817523507575863,0.00025861469089684093,0.0
6,0.07752293828980118,0.45197790243050384,-89.49858292452869,6.349206349206349,0.0,0.0,0.0,0.0,0.0,4.999999999999996,0.0,0.0,0.0,0.0,0.016699271316992052,0.008665110835265555,-0.0042885842937956135,0.05498548054238621,0.30398378258167513,36.507936507936506,25.0,0.02119276041520516,0.01014007973447979,0.004935483678804757,-9.520655494770308e-05,0.017788478629093142,0.007253078633824423,0.003512603832743367,-0.0004641633719231139,9.523809523809524,0.004823245209407655,25.0,0.02460991579402643,127.00285940460196,0.9614075587070503,12.838825277634957,0.10062085547310311,3.765684840669083,21.0,36.507936507936506,0.7936507936507936,1.1814413821422292,-0.005247405812737557,127.810557040178,0.5862368355171326,0.012510589969013644,0.6268064272082041,0.061041683692756823,0.00015651486137278483,0.0
7,0.020858838341980948,0.3916468065599886,-36.59824663786983,5.555555555555555,0.0,0.0,0.0,0.0,0.0,4.999999999999996,0.0,0.0,0.0,0.0,0.006248349452714322,5.843713215777274,-0.002286408846127627,0.044570321128104835,0.14900999760607023,45.238095238095234,29.0,0.011131371577690691,0.004546224524534985,0.002744013397853799,-0.00031719767220026834,0.010172952822976712,0.003229424925993295,0.0022942739708045816,-0.0003014697562259312,13.492063492063492,0.0016834052803180212,29.0,0.012765565970481925,127.00080760396466,1.7073656010252645,17.595452129686166,-0.018341589212115775,2.2640741987468957,15.0,45.238095238095234,0.7936507936507936,0.648583642400528,-0.002106456414369853,196.47138122829256,0.5660504741053036,0.006249179253798533,0.34848970152743247,0.016424282159040116,3.905224134610599e-05,0.0
8,0.015715702021587962,0.6894075994539994,-31.192980838865278,6.349206349206349,0.0,0.0,0.0,0.0,0.0,4.999999999999996,0.0,0.0,0.0,0.0,0.0051378867792030375,0.517565552356857,0.0009763666181689119,0.024607422446834986,0.2454111253908422,38.888888888888886,27.0,0.010181363704190373,0.003367962791759405,0.002280442232252879,1.8069908058764378e-05,0.010157799108762302,0.0025640202702104024,0.0018652058171913719,9.6308608429704e-05,11.11111111111111,0.0016834052803180212,26.0,0.011080565059763693,127.00054693917868,0.4019405356474589,14.72006290234481,-0.10563581519120953,2.8220105031955267,21.0,38.888888888888886,0.7936507936507936,0.8593041005435582,-0.0018190627538868045,151.07813232953873,0.5598251896148567,0.004372499876117876,0.28961616349611563,0.012374568520935403,1.9118755166650847e-05,0.0
9,0.021750942560836428,0.5940288471958316,-28.049254199910585,4.761904761904762,0.0,0.0,0.0,0.0,0.0,4.999999999999996,0.0,0.0,0.0,0.0,0.004007978876361437,1.4773763366078931,-0.0002065745911969643,0.02841851763083663,0.08821734776670413,39.682539682539684,28.0,0.01237051761148562,0.003068959514844969,0.0025109614998474854,2.2007365629593464e-05,0.011879985678647224,0.0020112856747956914,0.0020457296633066497,0.0003160321324817729,12.698412698412698,0.005279235466011062,28.0,0.013035690958155405,127.00064964506723,1.0117914067958944,15.833262064307627,-0.007247379368831268,2.705097995189562,18.0,39.682539682539684,1.5873015873015872,0.8109770831759832,-0.0016289372194700428,145.83585684631413,0.3057048061373706,0.004110904131752365,0.31889211048063065,0.017126726425855453,1.689953278045867e-05,0.0
10,0.019190435418618004,0.5375681088241767,-31.920977887797587,7.142857142857142,0.0,0.0,0.0,0.0,0.0,4.999999999999996,0.0,0.0,0.0,0.0,0.005831334230579757,0.6683995460509782,-0.001230248371525815,0.02841851763083663,0.15010894048646942,41.269841269841265,31.0,0.0112473459640901,0.0037402339630421624,0.002888055240681449,-8.990112849145588e-05,0.010738267514544944,0.002958343478391126,0.002203060406973571,-0.00011906620902847088,12.698412698412698,0.000957006499780093,31.0,0.012244397768283793,127.00088286127153,0.6407864311464283,16.377760903162073,0.030603935604367808,2.617252435143868,20.0,41.269841269841265,1.5873015873015872,0.7679482783239707,-0.0018493362679609538,152.5817830522668,0.3090153677605295,0.004839678240546504,0.366783015566544,0.015110579069777955,2.34224854720193e-05,0.0
11,0.014506998738248166,0.5591045282488639,-26.439839987398997,2.380952380952381,0.0,0.0,0.0,0.0,0.0,4.999999999999996,0.0,0.0,0.0,0.0,0.005669266842136549,0.41936822934017703,-0.0004186958425029897,0.024740506010738614,0.145872104411242,41.269841269841265,32.0,0.00967804199332354,0.0035092101527747343,0.002959122304974489,-3.307081650310147e-05,0.008966975317983817,0.002769002849412649,0.002396978171239796,-0.0001775396001174618,13.492063492063492,0.000957006499780093,32.0,0.010645934794209656,127.00090299209273,0.7089649604652966,17.36056657360635,0.10024604164435116,2.370952146588487,21.0,41.269841269841265,2.380952380952381,0.6573888792949384,-0.001523933018046091,163.72482380260706,0.5455136672032548,0.004435248676007912,0.3758085327317601,0.011422833652163908,1.9671430818029938e-05,0.0
12,0.01492982661331223,0.6410274942202538,-24.401524708873872,3.968253968253968,0.0,0.0,0.0,0.0,0.0,4.999999999999996,0.0,0.0,0.0,0.0,0.005755640380406811,0.010543851810169702,0.00029848728450515945,0.02262675744433693,0.11110981182693401,44.44444444444444,33.0,0.009976735980735042,0.00333355349486887,0.002813310693582258,1.8352129126755668e-05,0.009446688194142605,0.002930648706520907,0.002337559009999945,-0.00013577398632503603,12.698412698412698,0.001144041955743723,33.0,0.010799966222933374,127.0007805234441,0.593675213080038,17.5436787528268,0.030491596538695535,2.521905517172874,18.0,44.44444444444444,1.5873015873015872,0.7599869603021083,-0.0014049076342101453,178.57403777967218,0.3858353816829633,0.004135699407259741,0.35729045808494675,0.011755768986860022,1.7104009587208574e-05,0.0
13,0.03632004261180864,0.8237018397755325,-67.64109886385158,5.555555555555555,0.0,0.0,0.0,0.0,0.0,4.999999999999996,0.0,0.0,0.0,0.0,0.010019407253680009,1.8756265593408292,0.0030429828004722164,0.044408033147745704,0.2036118084032995,41.269841269841265,28.0,0.014326925210121189,0.006701440045117629,0.0033675660168111556,9.11784583099315e-05,0.011943008544935501,0.004845327589267409,0.002714244674932918,-0.00013577398632503603,8.73015873015873,0.0025171736587998633,28.0,0.01684489040940175,127.00121151329024,1.426401551482051,12.829932802183096,-0.13461618977266113,3.8440040173966317,17.0,41.269841269841265,0.7936507936507936,1.3168413418004985,-0.003965962111580176,157.31745978559943,0.6638816811911243,0.008859432652735104,0.42768088413501676,0.028598458749455623,7.848954692834896e-05,0.0
14,0.04189558351615333,0.5122279866516884,-60.33759169863096,7.936507936507936,0.0,0.0,0.0,0.0,0.0,4.999999999999996,0.0,0.0,0.0,0.0,0.010249336770281068,1.6306543942750489,-0.0009396937476460364,0.044408033147745704,0.2384360367302958,42.857142857142854,27.0,0.016004210375282876,0.00640273072757956,0.0035218976919547135,3.4023126747256e-05,0.014002121871749248,0.004657526811181268,0.002852047249471225,-0.00016533246376551104,9.523809523809524,0.002525732229666687,27.0,0.018091689976891267,127.00131374754723,1.2821210813148776,13.59267969596625,0.04394713825129058,3.712449285310861,20.0,42.857142857142854,0.7936507936507936,1.2463204480424959,-0.0035307560599230838,157.10696471467747,0.7069739526294464,0.008436497880260265,0.4472810068782486,0.032988648437916004,7.117449648363593e-05,0.0
15,3.6428887127269833,1.1308333657538638,-997.2739937850771,0.0,0.0,0.0,0.0,0.0,0.0,4.2968749999999964,0.15625000000000003,0.5468750000000001,0.0,0.0,0.02867261834236609,2.91965958515914,0.06486078451255729,0.5142847502171578,0.12611475411141643,41.269841269841265,26.0,0.07806538859837003,0.10234230637627006,0.007443014979499472,0.0035605793366011397,0.01411699531441293,0.005035036702236109,0.00263733640637686,0.0004337577705320148,3.968253968253968,0.005478014628489089,25.0,0.16870112053030223,127.01683837436521,2.1654958682735903,10.696685893843451,-0.556873349046966,4.161115163231886,14.0,41.269841269841265,0.7936507936507936,1.4910691129921856,-0.05873350017634008,165.43655072216578,0.9708762252860196,0.14955220884749593,0.945262902396433,2.868416309233845,0.022365863171165037,0.0
16,0.5199893098515984,0.4259051986856581,-148.47525298864437,5.555555555555555,0.0,0.0,0.0,0.0,0.0,4.999999999999996,0.0,0.0,0.0,0.0,0.035981839702659814,-0.8598397466553589,-0.01166251427792708,0.11285249914441968,0.22801958144882492,35.714285714285715,24.0,0.059718882285213715,0.0192880847271909,0.0051049612234596,-4.111775525241943e-05,0.05547391866010366,0.01804874627329655,0.003694273011317306,-0.0006217615915341777,6.349206349206349,0.028787972234183435,23.0,0.06373708875698365,127.00321745428079,0.45898338907561353,10.302077297981494,-0.9236944306583903,4.214226430927327,20.0,35.714285714285715,0.7936507936507936,1.3865534018899095,-0.008750321104856787,123.348585470733,0.9141721764593603,0.02227266445265137,0.6483300753793692,0.4094404014579514,0.0004960715818204,0.0
17,0.20035668153241115,0.35107534923741246,-109.40721608173585,5.555555555555555,0.0,0.0,0.0,0.0,0.0,4.999999999999996,0.0,0.0,0.0,0.0,0.018198627294234715,0.042393074698253486,-0.009907515286290016,0.07892739720927353,0.1998239380795396,40.476190476190474,26.0,0.035914822500239016,0.013252621596378503,0.003216606084570024,-0.00037580979429893707,0.030894492108599646,0.009175913096232809,0.0025985341156428074,-0.00017063149842112477,5.555555555555555,0.007941300775226628,25.0,0.039563702739657244,127.00112156952419,0.9269052140321126,11.734497456427306,-0.35123259667513773,3.5642755697836495,16.0,40.476190476190474,0.7936507936507936,1.257977880497915,-0.0064305938903405245,166.0620030115805,0.9386815627183437,0.016595544560160935,0.40850897274039305,0.15776116656095363,0.00027541209924828727,0.0
